諡	4.5701327	-6.593436	-32.50101
略	24.554976	-4.715349	-26.50662
可	26.8032	8.654517	-15.216721
者	28.558464	6.399437	-15.690074
七	28.00002	-10.742966	-18.925589
管	30.313616	-0.13361418	-27.58514
昔	27.265287	0.4294197	-15.163997
太	21.589748	-11.434724	-4.715923
山	-21.161701	-10.759885	-17.282307
梁	1.0607171	-1.0219027	-31.79929
家	-4.0938535	1.6112146	-21.125452
小	25.802717	-28.270998	-0.46052778
善	23.48365	17.420828	-15.1102495
斧	-19.654688	14.259198	7.2710094
迷	18.7773	23.333792	2.5745125
忍	22.953604	13.227189	-12.4202175
思	14.188977	-12.211616	-38.931137
益	30.857979	3.2551346	-3.8011878
無	28.76463	8.413097	-17.564972
生	25.620735	17.480509	-20.748158
諸	26.811068	8.157634	-20.262968
法	31.932932	8.259427	-11.820482
來	32.88815	12.392952	-12.660976
故	27.473213	6.4102445	-16.126297
滅	9.247494	-0.9397456	-4.5926623
去	27.539587	1.3072045	-18.811407
因	22.036882	14.598947	-21.769203
緣	24.604897	14.807828	-18.36581
住	-1.763145	14.909278	-33.542763
異	30.08729	8.413134	-24.064178
心	28.659391	6.7475615	-9.284232
續	25.025505	9.850565	-26.252796
纏	-4.519672	8.3720045	-1.76233
蓋	-12.294935	-3.9899325	-9.4256
貪	19.310698	20.273424	-6.8045483
恚	17.7118	21.552437	-7.783525
惛	17.495821	22.303032	2.515391
沉	-4.8200417	28.77923	-18.033995
睡	20.016129	19.937069	4.172311
眠	20.22431	19.919024	3.6968296
掉	17.229612	21.655977	1.9294883
舉	22.17266	-0.8940455	-24.61828
惡	22.546099	17.025703	-15.605799
疑	8.734701	16.21212	-12.588135
嵓	-20.405136	-12.019264	-15.601685
西	-9.487511	1.1473514	-23.828093
峙	-17.991316	-17.877956	-9.696098
鷲	-16.386753	-10.246687	-16.746595
巖	-20.4031	-11.185911	-16.19591
靈	-17.131926	-10.13138	-13.8996725
廣	6.1561556	7.782997	-32.945606
立	-5.471569	-26.945034	-12.0660095
彼	26.574535	3.1734421	-14.447612
峯	-21.643442	-11.677048	-17.140604
亭	-24.571733	-12.129232	-10.820274
然	26.752434	15.57442	-25.467
止	7.0119805	-1.459871	-9.546165
於	25.608028	10.30262	-18.80227
大	32.216667	11.818992	-21.119017
高	-18.50413	-17.967176	-8.447527
視	-3.468753	23.002235	-14.672535
老	25.069832	-21.133968	-5.314499
中	30.291658	-4.4264708	-16.619015
今	27.463673	0.65754557	-15.407732
佛	32.175823	10.258706	-11.836884
過	32.108204	2.863988	-9.813429
內	-1.2736071	-14.984628	-10.105834
超	-3.2907884	13.538152	-24.597994
空	23.857853	14.038427	1.4722059
混	0.70845234	24.891907	-3.9390154
胡	29.21089	14.804742	8.844322
沌	0.92396104	24.284286	-5.028
未	28.23146	1.7172397	-18.016994
分	31.905521	6.5041304	-25.88895
共	29.238462	8.542727	-23.495512
同	29.696669	8.483335	-23.783558
氣	-26.840687	4.2531195	-11.485557
皃	3.5237222	19.923615	-23.138554
此	26.198896	3.0332153	-14.436901
花	-31.805826	-5.650846	-13.391782
嚴	-24.768513	-4.7023344	-9.134772
門	27.802979	-18.692995	9.22035
量	10.856563	-8.264883	-42.224358
虛	23.532513	-29.250776	-14.924117
又	23.791206	5.7612143	-17.005884
渾	-0.22369002	25.163527	-3.9801536
承	10.247314	1.9121518	-22.829636
叨	11.297567	-1.5973847	-15.087692
他	29.498726	9.1022625	-3.2102213
勞	16.3831	-1.9231983	-8.733364
韻	9.818846	15.1536045	-27.863117
普	13.041467	1.6135987	-35.485035
稱	23.3135	-5.5279565	-17.638288
忝	11.623853	-1.4009044	-15.197719
自	31.284887	1.9560068	-15.810107
謙	7.301111	1.7032286	-21.86397
狠	17.080408	14.508395	-4.523366
厚	16.780088	13.680643	-20.335735
扆	-0.43563086	-25.169964	-18.885199
依	21.922516	3.6599662	-25.07195
豈	22.354511	3.939289	-13.275372
鄭	2.8156407	-8.755846	-26.710915
玄	13.404929	5.3486743	-31.759624
注	20.835861	-8.760751	-26.078112
禮	17.766546	-3.8001876	-17.47533
屏	-15.188228	-12.241335	-12.0947485
風	-20.331081	8.829068	-12.395811
玉	-15.441575	-18.419243	-3.1273258
飾	-15.814615	-3.0200284	-7.8940043
珠	-22.554716	-24.459423	-15.519459
藂	-35.638504	-10.281733	-16.508646
施	12.709518	-10.742786	-12.693036
戶	-1.5040267	-9.221213	-9.228138
牖	-2.8022172	-8.259434	-8.101481
障	4.419036	7.1472735	-10.201431
蔽	3.6519535	6.5100703	-11.902258
晏	-8.438412	12.586651	-24.080168
諫	18.982788	9.613275	-11.275146
安	8.4477415	22.602297	-20.780735
其	29.83426	5.1763296	-15.996386
遠	28.443748	16.712048	-8.80409
近	27.145023	17.486116	-8.6712055
清	-0.15988907	-38.200596	-13.171042
怗	-2.9602325	15.310132	-32.710308
河	-12.927403	-0.090058595	-24.76153
禎	28.902367	-16.211226	-9.409725
陟	-1.8398316	5.194974	-15.310672
盈	-36.289436	10.305857	-7.0765567
祥	14.184112	9.365706	0.5792586
蒼	-27.181055	-24.658089	-0.9881326
頡	8.890739	30.535097	18.085518
篇	26.433964	-6.331984	-24.355005
牒	24.097185	-1.5127987	-23.768976
貝	-17.509773	8.162374	-9.056199
北	-9.749423	1.2391869	-23.542488
盖	-12.303044	-3.8890836	-9.463335
徒	17.407719	4.5447516	-20.421152
頰	-6.894212	24.619745	7.509102
箋	21.457373	-8.887175	-26.88646
樹	-36.719646	-16.079819	-7.3590717
葉	29.185223	-16.217987	21.535639
意	13.450896	3.0140214	-29.607012
取	26.038078	24.265545	-7.1201725
梵	32.025707	-4.753473	-2.8938382
簡	23.881271	0.47949037	-31.555964
即	27.753635	5.7878866	-18.000057
通	25.60592	2.7561889	-26.747576
臻	6.816051	9.319029	-28.757967
洽	-31.668882	4.4111614	-19.547018
側	-1.679303	0.6992077	-12.916335
詵	35.656624	-6.328039	9.483495
侯	-0.17662288	-6.3577313	-22.429306
夾	-2.1450727	8.421284	-17.17952
譜	8.900595	-1.3073845	-32.351574
積	9.466019	-4.906359	-10.157676
至	31.85337	-4.603339	-12.876701
霑	-31.466654	4.8202877	-20.140265
及	29.602623	9.123575	-21.153164
漠	-13.015662	8.283319	-28.235085
謀	17.029863	13.0219965	-2.282391
各	31.084732	7.67277	-24.970007
漢	20.607637	4.221691	6.2153974
沙	36.337578	-2.4615107	2.4666173
國	-5.5366297	-2.2306924	-20.509512
越	24.475674	14.15922	9.5511675
歸	6.3935924	9.361481	-37.751102
獻	9.596992	-10.70354	-14.062918
賝	-2.9911485	-16.959858	-0.9198706
勑	11.199019	-1.7926381	-23.319696
林	-33.98495	-11.235845	-19.4405
寶	-21.74339	-25.783953	-12.747842
險	-0.10761266	9.6711	-15.034164
\	39.035667	-5.7453594	-5.7605376
U	38.119743	9.197091	-1.0905945
0	39.246643	8.3297	-1.096604
2	39.12946	7.0448275	-3.0763705
e	39.90894	6.57328	-3.7017417
3	39.718975	8.394348	-0.5615798
8	38.416714	6.6657023	-2.9574404
深	-2.463313	9.44813	-32.307365
何	25.180193	3.9079795	-13.4551115
剛	-23.262028	-12.612669	1.2018875
架	-7.3001723	-13.850493	-6.0693803
置	-5.6218605	-27.739956	-12.490695
在	31.088078	-1.9400545	-12.222916
懸	-11.148644	-5.161128	-6.683833
方	-9.149594	-2.6248999	-22.684145
舟	-12.913531	8.216832	-20.962782
莫	17.470774	7.174359	-13.487121
不	27.688608	7.5940228	-16.902538
登	-0.9015978	5.1605244	-15.655
渡	-14.321413	7.2159452	-22.105669
牽	-5.879218	12.207928	-2.1408775
定	10.49122	-5.931497	-37.005657
罄	14.552095	-4.224931	-10.862916
畫	-7.745574	-29.263475	-4.532826
入	31.394592	-3.5419896	-12.450028
叢	-35.379887	-10.025681	-16.731392
凢	14.648262	-28.918571	-8.888483
